placeId,reconstruction_loss,loss_a,loss_d,sequence_length
4624474044569362538,0.07972111494746059,0.0010004931828007102,0.07872062176465988,640
4624618014411115482,0.515183687210083,0.1719600260257721,0.3432236611843109,296
4624733339304280697,0.24247566610574722,0.1409858912229538,0.10148977488279343,645
4624767941938151774,0.10640205070376396,0.03435620293021202,0.07204584777355194,645
4625868213619191290,0.1093345758272335,0.0019503560615703464,0.10738421976566315,132
4626717967814472897,0.1929050013422966,0.07450293749570847,0.11840206384658813,609
4626851614286962403,0.08788322284817696,0.05882881209254265,0.029054410755634308,645
4627584784734855861,0.13498088344931602,0.06169334426522255,0.07328753918409348,362
4628136364447538908,0.14211905281990767,0.009676876477897167,0.1324421763420105,533
4628144962804886891,0.10881323739886284,0.049929648637771606,0.05888358876109123,645
4628149793585196802,0.08588710241019726,0.009269220754504204,0.07661788165569305,339
4628672527399372927,0.14917121455073357,0.01343732699751854,0.13573388755321503,239
4629434333004553276,0.12428431212902069,0.03868112713098526,0.08560318499803543,641
4629890678488234565,0.04747712519019842,0.0023680729791522026,0.04510905221104622,561
4630315409008001628,0.12253526202403009,0.0021998395677655935,0.1203354224562645,282
4630372404714396305,0.12145620957016945,0.06221453845500946,0.05924167111515999,620
4630756820698341021,0.00937187927775085,0.0018209528643637896,0.00755092641338706,352
4630858447973472114,0.039262314909137785,0.0012069694930687547,0.03805534541606903,556
4630908592232107254,0.13646581396460533,0.09399363398551941,0.04247217997908592,619
4630997258272107814,0.16270212084054947,0.11622466892004013,0.04647745192050934,640
4631150220285954731,0.0192768668057397,0.0010577720822766423,0.01821909472346306,330
4631853731488650873,0.11514359759166837,0.0012091328389942646,0.1139344647526741,644
4632478180893233056,0.07322155544534326,0.0047645182348787785,0.06845703721046448,585
4632940916180522610,0.18043450266122818,0.07319005578756332,0.10724444687366486,296
4633955735894338774,0.06456476077437401,0.04776404798030853,0.016800712794065475,645
4633995117087694751,0.20188970863819122,0.1098540648818016,0.09203564375638962,621
4634145114310470202,0.16914024576544762,0.046425122767686844,0.12271512299776077,30
4634497081455385626,0.11162024177610874,0.01911112107336521,0.09250912070274353,645
4634502025603535406,0.11843299865722656,0.02601093053817749,0.09242206811904907,645
4634674976956123948,0.06148364534601569,0.0002659647725522518,0.06121768057346344,296
4634782284119636110,0.026177012361586094,0.014614433981478214,0.01156257838010788,644
4634893117634605463,0.14538654568605125,0.000934569863602519,0.14445197582244873,312
4634909840295820959,0.053776154411025345,0.0004284774186089635,0.05334767699241638,626
4635023987208506577,0.04479112708941102,0.006677331868559122,0.0381137952208519,256
4636135293112572159,0.12034380063414574,0.03451339527964592,0.08583040535449982,454
4636170248516437291,0.15095993503928185,0.03929595276713371,0.11166398227214813,642
4636674756879279142,0.04333725373726338,0.0010799485025927424,0.04225730523467064,627
4637060991850474386,0.13402685441542417,0.0009206972317770123,0.13310615718364716,296
4637254826649506462,0.1747528687119484,0.05618823319673538,0.11856463551521301,627
4637528322739646773,0.12034020759165287,0.02779257483780384,0.09254763275384903,556
4637584816402576230,0.0838555246591568,0.04423247277736664,0.03962305188179016,302
4637607275127349067,0.0030494840175379068,0.00026373917353339493,0.002785744844004512,645
4637711442447647357,0.07139495090814307,0.0006436564144678414,0.07075129449367523,645
4637793722906734145,0.15347477048635483,0.02928406000137329,0.12419071048498154,586
4637852508793829171,0.06115546577348141,4.1616491216700524e-05,0.06111384928226471,272
4638048995145668551,0.28252471052110195,0.26290979981422424,0.01961491070687771,645
4638670296107233387,0.027603154070675373,0.005491659976541996,0.022111494094133377,593
